Čas: 00:00:12.9982129, Stav 1: 0, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:08.8009618, Stav 1: 0, Stav 2: 1, Set 1: 0, Set 2: 0
Čas: 00:00:08.8009618, Stav 1: 0, Stav 2: 2, Set 1: 0, Set 2: 0
Čas: 00:00:08.8009618, Stav 1: 0, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:08.8009618, Stav 1: 0, Stav 2: 4, Set 1: 0, Set 2: 0
Čas: 00:00:09.8039732, Stav 1: 0, Stav 2: 5, Set 1: 0, Set 2: 0
Čas: 00:00:09.8039732, Stav 1: 0, Stav 2: 6, Set 1: 0, Set 2: 0
Čas: 00:00:09.8039732, Stav 1: 0, Stav 2: 7, Set 1: 0, Set 2: 0
Čas: 00:00:09.8039732, Stav 1: 0, Stav 2: 8, Set 1: 0, Set 2: 0
Čas: 00:00:09.8039732, Stav 1: 0, Stav 2: 9, Set 1: 0, Set 2: 0
Čas: 00:00:09.8039732, Stav 1: 0, Stav 2: 10, Set 1: 0, Set 2: 0
Čas: 00:00:09.8039732, Stav 1: 0, Stav 2: 11, Set 1: 0, Set 2: 0
Čas: 00:00:09.8039732, Stav 1: 0, Stav 2: 12, Set 1: 0, Set 2: 0
Čas: 00:00:09.8039732, Stav 1: 0, Stav 2: 13, Set 1: 0, Set 2: 0
Čas: 00:00:09.8039732, Stav 1: 0, Stav 2: 14, Set 1: 0, Set 2: 0
Čas: 00:00:09.8039732, Stav 1: 0, Stav 2: 15, Set 1: 0, Set 2: 0
Čas: 00:00:09.8039732, Stav 1: 0, Stav 2: 16, Set 1: 0, Set 2: 0
Čas: 00:00:10.7988246, Stav 1: 0, Stav 2: 17, Set 1: 0, Set 2: 0
Čas: 00:00:10.7988246, Stav 1: 0, Stav 2: 18, Set 1: 0, Set 2: 0
Čas: 00:00:10.7988246, Stav 1: 0, Stav 2: 19, Set 1: 0, Set 2: 0
Čas: 00:00:10.7988246, Stav 1: 0, Stav 2: 20, Set 1: 0, Set 2: 0
Čas: 00:00:10.7988246, Stav 1: 0, Stav 2: 21, Set 1: 0, Set 2: 0
Čas: 00:00:10.7988246, Stav 1: 0, Stav 2: 22, Set 1: 0, Set 2: 0
Čas: 00:00:10.7988246, Stav 1: 0, Stav 2: 23, Set 1: 0, Set 2: 0
Čas: 00:00:10.7988246, Stav 1: 0, Stav 2: 24, Set 1: 0, Set 2: 0
Čas: 00:00:10.7988246, Stav 1: 0, Stav 2: 25, Set 1: 0, Set 2: 0
Čas: 00:00:10.7988246, Stav 1: 0, Stav 2: 26, Set 1: 0, Set 2: 0
Čas: 00:00:10.7988246, Stav 1: 0, Stav 2: 27, Set 1: 0, Set 2: 0
Čas: 00:00:10.7988246, Stav 1: 0, Stav 2: 28, Set 1: 0, Set 2: 0
Čas: 00:00:10.7988246, Stav 1: 0, Stav 2: 29, Set 1: 0, Set 2: 0
Čas: 00:00:10.7988246, Stav 1: 0, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:11.8060560, Stav 1: 1, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:12.8004507, Stav 1: 2, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:12.8004507, Stav 1: 3, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:12.8004507, Stav 1: 4, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:12.8004507, Stav 1: 5, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:12.8004507, Stav 1: 6, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:12.8004507, Stav 1: 7, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:12.8004507, Stav 1: 8, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:12.8004507, Stav 1: 9, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:12.8004507, Stav 1: 10, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:12.8004507, Stav 1: 11, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:12.8004507, Stav 1: 12, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:12.8004507, Stav 1: 13, Stav 2: 30, Set 1: 0, Set 2: 1
